index,ant_a,ant_b,vis
193,0,2,0.28746847754520355+0.8807514134048988i
194,0,2,0.30843120591731565+0.8690620102126528i
195,0,2,0.41638516685017923+0.7962722138370175i
196,0,2,0.20570487117915381+0.8034011560129799i
197,0,2,0.2248427566709624+0.6797348344380179i
198,0,2,0.1899501969916846+0.8118630192124815i
199,0,2,0.1950131046845826+0.8713021549702186i
200,0,3,0.06404506688490372+0.39482896092037123i
201,0,3,0.27105940854444577+0.4132721474495788i
202,0,3,0.19545647005182068+0.5274819474920164i
203,0,3,0.2939628844064218+0.4876502339820165i
204,0,3,0.2104804305979336+0.3962524738020361i
205,0,3,0.14895302494133475+0.5387007911563152i
206,0,3,0.24968521000840926+0.4500798830233881i
207,0,3,0.26620239861150585+0.35796022705041425i
208,0,3,0.17084066553806274+0.35973205171265443i
209,0,3,0.1856622712845526+0.5155339048996807i
210,0,3,0.33496047371671533+0.27778483708597235i
211,0,3,0.3618280262346087+0.4078662856076181i
212,0,3,0.2646920079475908+0.4881409781499167i
213,0,3,0.30430910609016437+0.4877845138308643i
214,0,3,0.2963025265333707+0.3376281823486412i
215,0,3,0.04547755717220628+0.4253158239723304i
216,0,3,0.3060248730793332+0.4154815207674064i
217,0,3,0.15500823923229662+0.3837663789500844i
218,0,3,0.1810777809059633+0.3512658374047062i
219,0,3,0.24497624333071905+0.4365738155269238i
220,0,3,0.2373119079075657+0.5366895828085669i
221,0,3,0.202173324104606+0.3156409409608125i
222,0,3,0.3025348711751353+0.3434990603546222i
223,0,3,0.29067071857852134+0.42038168237192136i
224,0,3,0.07821244046897938+0.338642834775457i
225,0,3,0.34560456667247696+0.6951567604165212i
226,0,3,0.25726613148533634+0.7114530419607416i
227,0,3,0.21630720910925536+0.3982071672933504i
228,0,3,0.22095497245551687+0.5457908942275471i
229,0,3,0.20757712830453823+0.284257022183471i
230,0,3,0.3322016356274119+0.40376266867992444i
231,0,3,0.14603236297560881+0.5268819860597216i
232,0,3,0.12260064018807465+0.3241668673134376i
233,0,3,0.1798654628791392+0.5573032547045256i
234,0,3,0.26755417512139046+0.4243268179029935i
235,0,3,0.184633809101059+0.3924254500258657i
236,0,3,0.2093724589727632+0.42864043575815985i
237,0,3,0.3732921295006335+0.5249927603201755i
238,0,3,0.12016385362181917+0.2186368138604241i
239,0,3,0.14604795200494466+0.4743587618512433i
240,0,3,0.20692186764480272+0.3977089087907348i
241,0,3,-0.034365911866467785+0.38910995018002514i
242,0,3,0.3294530936885189+0.3469644137570051i
243,0,3,0.4177109011028162+0.34047666592853176i
244,0,3,0.07498592425515332+0.2848628355118702i
245,0,3,0.18955151410715623+0.6463444015048203i
246,0,3,0.22826734460463546+0.35709630037701817i
247,0,3,0.10714124272742857+0.5551400759491605i
248,0,3,0.2644287277080398+0.6259414507307313i
249,0,3,0.18476530537530794+0.4274121538016582i
250,0,3,0.2205673002847784+0.3545808460464652i
251,0,3,0.18028801924726462+0.4992405942339141i
252,0,3,0.39493159836034775+0.4476371058435579i
253,0,3,0.10650536734086913+0.5993798976951417i
254,0,3,0.4425741333034275+0.5163301761123023i
255,0,3,0.17175895672635294+0.5190513222907187i
256,0,3,0.10671264885538316+0.2916004470325856i
257,0,3,0.27948288820245293+0.5220620653646244i
258,0,3,0.25073147370165516+0.35501226470688985i
259,0,3,0.3147908437933107+0.544530587810545i
260,0,3,0.18327143767597434+0.47105506405562847i
261,0,3,0.33823187735899984+0.6910270514992868i
262,0,3,0.31689125881840857+0.5183842090042274i
263,0,3,0.39239180242084365+0.3211649210178706i
264,0,3,0.19911429351585241+0.5028570305554187i
265,0,3,0.23556500503858993+0.3106354478796354i
266,0,3,0.3208869697461883+0.5011392710654128i
267,0,3,0.17872521870120545+0.4219270456440547i
268,0,3,0.2240814051157622+0.5044395356145714i
269,0,3,0.12887841872335365+0.44255072013994995i
270,0,3,0.3765776470998651+0.5300975591529697i
271,0,3,0.3808363545588429+0.37858999589330833i
272,0,3,0.2506803852824978+0.2650548673499583i
273,0,3,0.395062649564887+0.6289971159024133i
